Valor da Transação,Data/Hora da Transação,Localização da Transação,Data criação conta recebedor,Classe(transações anteriores),Classe (rótulo),Recorrência de envios do mesmo valor,Idade do titular do cartão,Classe(cartão temporário),Limite de crédito,Classe(nome lista devedores),Número de cartões complementares,Data ativação do cartão,Numero transações para outro pais,Número de transações suspeitas anteriormente,Valor médio das transações do usuário,Classe(histórico pagamento),Classe(emprego fixo),Tempo desde a ultima transação,Dispositivo de acesso novo?
556.08,2024-04-25 03:57:11,"-84.331638, 81.267784",2016-02-12 03:57:11,0,0,1,56,1,2000,0,1,2016-04-12 03:57:11,6,0,409.65,bom,1,2024-04-23 11:01:28,0
180.06,2023-09-08 18:21:12,"33.199136, 141.44414",2022-05-22 18:21:12,0,0,0,45,0,2000,1,0,2022-07-16 18:21:12,3,5,237.43,bom,1,2023-08-14 12:12:16,1
579.25,2023-11-15 15:35:23,"69.549876, -123.337023",2017-02-15 15:35:23,0,0,1,72,0,20000,1,2,2017-03-27 15:35:23,4,4,220.0,bom,0,2023-11-06 02:55:09,1
147.22,2025-06-25 06:27:24,"-36.803841, 98.120904",2020-03-09 06:27:24,0,0,0,34,0,2000,0,4,2020-05-09 06:27:24,6,5,293.65,inadimplente,0,2025-06-22 16:54:12,0
696.15,2024-03-22 12:59:31,"7.024567, -96.551846",2022-09-22 12:59:31,0,0,0,83,0,2000,0,2,2022-11-28 12:59:31,8,0,384.84,atrasado,1,2024-03-06 10:05:44,0
1033.22,2025-03-27 08:44:40,"59.059819, -164.153318",2019-08-27 08:44:40,0,0,0,46,0,20000,0,4,2019-10-22 08:44:40,1,3,75.31,inadimplente,0,2025-03-11 17:46:16,1
313.51,2025-02-14 18:10:27,"-60.365766, -80.527942",2015-07-17 18:10:27,1,0,0,22,0,1000,0,5,2015-07-20 18:10:27,1,2,420.01,bom,0,2025-02-10 17:54:01,0
170.47,2024-11-26 14:14:11,"-3.459622, 109.934379",2019-11-25 14:14:11,1,1,0,21,0,5000,1,3,2020-02-19 14:14:11,1,4,250.81,inadimplente,1,2024-11-12 09:52:16,1
245.65,2024-03-05 10:21:44,"-61.330599, 16.479084",2022-06-09 10:21:44,1,0,1,80,0,2000,0,2,2022-08-12 10:21:44,9,0,236.46,atrasado,1,2024-02-11 16:05:03,0
139.82,2025-05-18 20:57:07,"1.285864, -11.767401",2024-10-20 20:57:07,0,0,0,51,0,10000,1,5,2024-12-02 20:57:07,1,2,181.03,inadimplente,1,2025-04-23 03:24:59,0
138.41,2024-04-09 14:37:40,"-17.066997, 22.680543",2021-07-19 14:37:40,1,0,0,52,0,5000,1,5,2021-07-25 14:37:40,5,2,389.71,bom,1,2024-04-07 13:50:32,0
370.09,2024-11-08 03:38:10,"22.503044, -160.90678",2022-06-11 03:38:10,0,0,1,76,1,1000,0,1,2022-06-19 03:38:10,0,2,427.49,bom,0,2024-10-20 03:18:00,1
73.64,2024-03-22 23:53:12,"60.281679, -135.264796",2017-11-28 23:53:12,0,0,1,51,0,20000,1,3,2017-12-29 23:53:12,8,1,279.85,atrasado,0,2024-02-26 08:20:52,0
489.65,2025-05-22 06:17:09,"-18.052432, -92.798211",2017-10-05 06:17:09,0,0,0,69,1,2000,1,3,2017-11-12 06:17:09,2,0,299.35,bom,1,2025-05-15 22:13:49,1
238.5,2025-06-07 20:53:51,"40.004906, 124.214257",2020-07-09 20:53:51,0,0,0,57,1,1000,1,0,2020-08-27 20:53:51,4,5,345.73,atrasado,0,2025-05-21 15:40:12,1
456.92,2025-02-03 13:18:56,"46.378441, 131.858444",2024-07-15 13:18:56,0,0,1,47,1,5000,0,2,2024-08-08 13:18:56,0,5,445.58,bom,1,2025-01-16 05:45:47,1
487.37,2024-11-09 19:47:20,"-15.985507, -79.276448",2021-07-08 19:47:20,0,0,0,31,1,2000,0,2,2021-08-19 19:47:20,2,3,340.98,inadimplente,0,2024-10-24 07:44:35,0
290.65,2023-09-07 09:23:48,"-37.854685, 50.069263",2014-01-14 09:23:48,1,0,0,44,0,2000,1,1,2014-03-22 09:23:48,4,4,213.89,atrasado,0,2023-08-19 05:30:53,0
55.86,2025-06-15 03:51:57,"55.206898, 110.141276",2024-05-13 03:51:57,0,0,1,85,1,1000,0,4,2024-06-07 03:51:57,3,4,329.66,bom,0,2025-05-22 05:58:03,0
716.54,2024-09-25 01:02:32,"-65.752747, 51.850164",2022-02-14 01:02:32,0,0,1,22,0,1000,1,2,2022-04-04 01:02:32,1,3,346.32,inadimplente,1,2024-08-29 05:16:31,0
272.76,2025-02-01 17:03:02,"-88.07905, -113.461628",2015-10-22 17:03:02,0,0,0,31,1,10000,0,4,2015-11-07 17:03:02,9,4,319.06,bom,0,2025-01-14 09:28:29,1
300.22,2023-11-11 12:02:05,"-4.990858, 73.021897",2020-10-27 12:02:05,1,0,0,71,0,20000,0,3,2020-12-13 12:02:05,9,2,394.13,bom,0,2023-11-07 19:11:42,1
192.69,2025-02-21 18:50:45,"18.664453, 111.0649",2015-04-19 18:50:45,1,0,0,55,0,2000,1,4,2015-06-19 18:50:45,5,0,215.24,inadimplente,0,2025-02-02 00:19:53,0
112.99,2024-11-07 05:38:08,"-59.291876, 80.263458",2022-05-09 05:38:08,0,0,0,48,1,5000,1,2,2022-07-01 05:38:08,1,0,234.79,atrasado,0,2024-10-23 23:09:40,0
72.59,2023-08-01 06:39:37,"3.542444, -33.390745",2015-02-14 06:39:37,0,0,1,20,1,2000,1,3,2015-04-09 06:39:37,6,5,301.56,bom,0,2023-07-26 14:54:48,0
62.45,2025-01-31 12:40:30,"-13.227122, 124.75331",2024-07-13 12:40:30,0,0,0,84,0,5000,1,3,2024-09-28 12:40:30,1,0,390.23,atrasado,0,2025-01-09 09:49:45,0
357.37,2023-10-12 07:21:45,"-32.331922, 88.258067",2022-07-30 07:21:45,0,0,0,50,1,5000,0,3,2022-10-03 07:21:45,8,1,351.08,atrasado,0,2023-09-18 17:50:49,1
477.25,2024-01-13 13:50:53,"-13.594759, 22.09351",2022-05-09 13:50:53,0,0,1,55,0,1000,0,2,2022-07-18 13:50:53,0,4,403.06,atrasado,0,2023-12-27 22:40:46,1
353.65,2024-02-21 05:54:19,"-47.263379, 130.620126",2017-11-21 05:54:19,0,0,1,23,0,2000,1,4,2017-12-06 05:54:19,0,0,317.18,inadimplente,1,2024-01-30 07:49:49,0
117.7,2023-11-23 04:07:47,"19.022771, -162.903145",2019-09-07 04:07:47,0,0,1,54,0,1000,1,2,2019-11-20 04:07:47,2,3,355.33,inadimplente,1,2023-10-26 08:52:06,1
63.56,2025-03-29 05:59:47,"66.524398, 56.437632",2015-11-07 05:59:47,1,0,0,84,1,2000,1,4,2015-12-26 05:59:47,10,4,346.32,bom,0,2025-03-13 05:06:23,0
92.22,2024-02-21 22:27:32,"-37.00665, 98.027821",2020-08-02 22:27:32,0,0,0,42,0,2000,0,2,2020-08-20 22:27:32,6,3,163.29,inadimplente,0,2024-02-02 03:18:55,0
506.12,2024-03-26 12:58:14,"88.204077, -9.728082",2019-09-09 12:58:14,0,0,1,71,0,10000,0,5,2019-10-06 12:58:14,4,4,230.32,inadimplente,0,2024-03-01 07:08:03,0
27.76,2024-03-15 16:13:40,"-31.359944, 58.515597",2020-01-25 16:13:40,0,0,0,20,1,1000,1,3,2020-04-18 16:13:40,1,1,358.2,inadimplente,1,2024-02-28 02:32:18,0
137.82,2024-10-05 14:07:55,"8.865395, 125.629823",2023-01-11 14:07:55,1,0,1,36,1,5000,0,4,2023-02-28 14:07:55,9,3,334.97,atrasado,1,2024-10-02 01:18:33,0
11.93,2025-03-11 10:33:59,"-87.312042, -6.505532",2020-05-02 10:33:59,0,0,0,42,1,20000,1,0,2020-06-03 10:33:59,3,2,143.52,atrasado,0,2025-02-27 18:14:47,1
117.04,2024-03-25 09:31:24,"62.957437, -82.115476",2023-09-11 09:31:24,0,0,0,79,0,1000,0,5,2023-11-15 09:31:24,6,4,267.06,atrasado,1,2024-03-22 08:35:00,0
693.67,2023-07-27 01:38:02,"-68.97889, 172.674197",2019-02-23 01:38:02,0,1,0,28,0,20000,1,0,2019-03-01 01:38:02,1,3,373.19,inadimplente,0,2023-06-27 08:31:25,1
523.6,2025-06-27 12:41:01,"-75.581202, 46.750328",2024-08-02 12:41:01,1,0,0,76,1,2000,0,4,2024-09-27 12:41:01,10,3,346.93,inadimplente,0,2025-06-25 02:04:51,1
20.89,2025-04-26 11:08:07,"-50.308061, -79.27192",2025-01-18 11:08:07,1,0,1,74,1,10000,0,0,2025-03-16 11:08:07,2,5,146.44,atrasado,1,2025-04-20 03:38:27,0
2041.73,2024-04-26 19:39:45,"-27.980913, 19.967216",2023-03-16 19:39:45,1,0,1,67,0,2000,0,2,2023-03-18 19:39:45,6,4,375.68,inadimplente,1,2024-04-23 13:25:04,0
585.63,2024-01-04 06:57:11,"-54.280935, -16.608082",2022-12-05 06:57:11,0,1,1,63,0,2000,1,3,2022-12-18 06:57:11,7,4,361.25,bom,1,2024-01-03 18:33:18,0
82.92,2024-12-30 07:27:46,"62.918188, 143.681018",2023-01-28 07:27:46,0,0,0,38,0,10000,0,1,2023-03-23 07:27:46,3,4,198.33,inadimplente,1,2024-12-23 21:15:24,1
6.8,2023-11-21 02:30:56,"-0.765345, 26.436834",2019-12-10 02:30:56,1,0,0,42,0,10000,0,5,2020-02-17 02:30:56,4,2,275.59,atrasado,0,2023-11-12 21:58:24,1
459.38,2024-09-29 18:13:02,"-81.398587, 131.084217",2021-05-14 18:13:02,0,0,0,73,1,5000,0,1,2021-07-10 18:13:02,3,5,408.18,atrasado,0,2024-09-10 10:05:41,1
79.2,2023-08-11 16:54:56,"6.152727, 153.966222",2018-05-02 16:54:56,1,0,0,41,0,1000,0,5,2018-05-13 16:54:56,7,4,168.78,inadimplente,0,2023-08-06 17:41:00,0
433.63,2024-02-24 02:40:14,"-43.002294, 155.010795",2019-05-12 02:40:14,0,0,1,80,1,2000,1,1,2019-07-20 02:40:14,3,0,338.68,inadimplente,0,2024-01-28 17:26:01,1
248.62,2024-11-14 13:52:39,"-16.48347, -58.150342",2018-05-16 13:52:39,1,0,0,81,1,10000,0,3,2018-07-16 13:52:39,0,3,409.1,atrasado,0,2024-10-25 21:55:11,0
599.49,2024-08-31 19:37:52,"64.81819, -174.433742",2016-01-05 19:37:52,0,0,1,36,0,2000,0,1,2016-03-25 19:37:52,5,2,314.49,inadimplente,0,2024-08-27 15:12:49,1
424.08,2025-03-09 07:01:02,"32.174482, 57.439853",2024-12-09 07:01:02,1,0,1,31,1,10000,0,5,2024-12-18 07:01:02,8,5,302.39,bom,0,2025-02-09 14:11:56,0
368.68,2024-05-10 20:55:04,"-31.069342, -36.745041",2019-02-26 20:55:04,0,0,1,48,1,20000,1,4,2019-02-28 20:55:04,2,1,349.99,bom,1,2024-05-09 05:24:31,0
790.09,2025-03-09 17:50:21,"29.216444, 15.221637",2017-01-15 17:50:21,1,1,1,34,1,20000,1,5,2017-04-03 17:50:21,8,4,160.07,inadimplente,0,2025-03-05 15:57:21,1
125.52,2025-04-07 23:39:47,"-27.579713, 45.383705",2019-06-30 23:39:47,1,0,0,74,0,5000,0,1,2019-09-07 23:39:47,6,3,362.55,atrasado,1,2025-03-29 11:19:11,0
269.8,2024-02-17 14:21:20,"-85.280779, 41.609834",2020-12-19 14:21:20,1,0,0,26,1,10000,1,3,2021-02-26 14:21:20,2,4,388.52,inadimplente,1,2024-01-24 01:02:58,1
181.96,2025-06-18 13:22:07,"39.337154, -124.590484",2016-01-11 13:22:07,0,0,1,84,0,10000,0,5,2016-03-19 13:22:07,5,5,194.11,inadimplente,0,2025-05-30 04:58:25,0
852.6,2023-08-21 04:23:31,"32.820971, 105.265884",2019-06-03 04:23:31,0,0,1,21,1,10000,1,5,2019-08-21 04:23:31,5,5,448.17,atrasado,0,2023-08-19 16:42:03,0
208.16,2025-02-14 17:04:39,"-59.774461, 143.916032",2023-01-26 17:04:39,1,0,1,52,1,2000,1,3,2023-04-11 17:04:39,6,1,401.15,bom,1,2025-01-16 00:45:35,1
96.59,2024-12-08 05:14:16,"-56.576, -91.215074",2023-05-13 05:14:16,1,0,1,46,0,20000,0,2,2023-07-03 05:14:16,2,2,434.15,bom,1,2024-11-29 03:49:52,1
303.13,2023-09-23 18:42:02,"40.035751, 155.578",2021-08-26 18:42:02,1,0,1,39,0,10000,0,5,2021-09-23 18:42:02,5,4,356.29,inadimplente,1,2023-09-18 19:36:18,0
182.19,2023-12-28 08:22:08,"64.881036, 158.248598",2022-09-19 08:22:08,1,0,1,64,0,10000,1,3,2022-11-29 08:22:08,5,0,212.02,inadimplente,1,2023-12-04 16:04:40,1
544.88,2025-02-28 21:19:59,"58.475158, -99.285585",2022-11-26 21:19:59,1,0,0,83,0,1000,1,4,2023-01-26 21:19:59,2,0,455.42,bom,1,2025-01-31 15:16:51,0
546.33,2024-09-24 18:07:54,"-41.555919, -166.431404",2015-04-01 18:07:54,1,0,0,68,1,1000,1,2,2015-05-29 18:07:54,1,2,385.4,atrasado,0,2024-09-19 13:12:32,0
972.64,2025-04-27 08:53:34,"41.207845, -48.200356",2022-11-01 08:53:34,1,0,1,85,0,2000,1,3,2022-12-11 08:53:34,0,0,47.04,inadimplente,1,2025-04-20 02:29:44,0
50.06,2025-07-09 12:36:15,"-38.973815, 97.113376",2024-06-18 12:36:15,0,0,1,40,1,10000,0,5,2024-09-01 12:36:15,8,3,270.34,inadimplente,0,2025-06-10 03:38:41,0
97.31,2024-09-17 19:28:26,"46.397665, -177.57845",2020-08-01 19:28:26,0,1,0,83,1,10000,0,1,2020-09-12 19:28:26,8,3,475.55,atrasado,0,2024-09-02 01:27:23,1
131.52,2024-10-28 14:37:42,"52.613207, -18.079318",2019-10-14 14:37:42,1,0,1,39,0,10000,1,4,2019-11-26 14:37:42,10,2,457.3,inadimplente,1,2024-09-30 01:11:04,1
9.68,2023-10-01 00:43:42,"83.616373, 106.776882",2020-02-10 00:43:42,1,0,0,82,0,5000,0,0,2020-05-08 00:43:42,6,2,319.5,bom,0,2023-09-30 17:26:16,0
638.52,2024-02-10 09:50:18,"-82.282512, 108.583737",2019-11-08 09:50:18,0,0,0,27,0,2000,0,2,2019-12-18 09:50:18,1,1,224.17,bom,1,2024-01-24 21:47:30,1
322.8,2024-04-21 08:58:50,"-83.917925, -106.527143",2017-02-15 08:58:50,1,0,0,30,1,5000,1,4,2017-04-23 08:58:50,9,3,362.95,atrasado,1,2024-04-14 09:07:27,1
101.28,2023-07-22 10:10:13,"83.35715, 68.529837",2020-12-25 10:10:13,1,0,1,74,1,10000,0,5,2020-12-25 10:10:13,2,2,219.57,inadimplente,0,2023-07-04 12:26:50,1
1767.53,2025-02-07 07:11:26,"-52.352854, 165.128972",2019-02-16 07:11:26,0,0,0,31,0,2000,0,1,2019-03-13 07:11:26,9,1,325.32,inadimplente,0,2025-01-23 11:59:31,0
1087.86,2025-02-19 05:24:59,"-79.382792, 85.786722",2024-01-18 05:24:59,0,0,1,51,1,2000,0,5,2024-03-28 05:24:59,7,2,382.03,bom,0,2025-01-27 07:53:31,1
563.96,2025-03-10 06:54:03,"3.362634, -148.646919",2019-12-30 06:54:03,0,0,0,62,1,10000,1,2,2020-02-14 06:54:03,8,5,248.36,atrasado,1,2025-03-03 16:50:16,1
1110.81,2025-02-01 04:08:55,"-62.144112, 25.638774",2024-08-22 04:08:55,1,0,0,29,1,10000,0,5,2024-09-04 04:08:55,6,0,280.35,inadimplente,0,2025-01-10 20:03:06,0
574.27,2024-12-25 21:10:54,"26.175654, -116.802362",2019-10-11 21:10:54,0,1,0,74,0,20000,0,0,2019-11-21 21:10:54,2,1,279.41,bom,0,2024-12-05 21:14:12,0
22.11,2024-09-03 01:24:58,"81.961555, 83.809846",2015-08-18 01:24:58,1,0,0,56,0,20000,0,1,2015-09-08 01:24:58,5,5,225.34,atrasado,0,2024-08-06 00:27:27,0
78.16,2024-09-12 02:42:21,"-32.363333, 158.290606",2021-08-17 02:42:21,1,0,0,80,1,10000,0,1,2021-10-06 02:42:21,4,1,250.88,bom,1,2024-08-30 10:34:29,1
54.99,2024-09-30 05:29:21,"13.969607, 163.107868",2019-01-30 05:29:21,0,0,0,75,1,1000,0,4,2019-02-21 05:29:21,7,0,271.51,bom,0,2024-09-14 03:43:07,0
1084.43,2023-10-21 06:58:23,"30.009694, 34.522483",2015-03-16 06:58:23,1,0,0,45,1,5000,0,4,2015-05-26 06:58:23,8,1,293.82,bom,0,2023-10-19 22:15:34,0
97.87,2023-08-22 08:52:12,"-65.751067, -48.849382",2015-05-20 08:52:12,0,0,0,40,0,1000,1,4,2015-07-21 08:52:12,9,5,347.94,atrasado,1,2023-08-05 09:53:28,0
118.47,2024-05-28 05:18:55,"34.79753, 79.936013",2014-06-22 05:18:55,1,0,1,41,0,20000,1,0,2014-06-27 05:18:55,3,0,251.28,atrasado,1,2024-05-16 18:01:15,1
88.9,2025-05-29 11:07:00,"26.173232, 113.282182",2015-09-27 11:07:00,1,0,0,76,0,5000,0,1,2015-12-09 11:07:00,1,0,264.81,bom,0,2025-04-30 23:21:09,1
336.25,2023-08-19 09:55:01,"29.521506, -146.708979",2021-04-27 09:55:01,1,0,1,83,0,1000,0,0,2021-07-09 09:55:01,6,3,359.5,bom,0,2023-07-21 14:27:25,1
47.67,2024-04-10 04:08:18,"-73.272739, 168.269257",2022-07-26 04:08:18,1,0,0,37,0,1000,0,1,2022-08-10 04:08:18,10,5,244.26,atrasado,1,2024-03-18 12:33:54,0
599.99,2025-06-27 00:37:31,"-80.369377, 38.101433",2017-01-15 00:37:31,0,0,0,32,1,10000,0,1,2017-02-07 00:37:31,0,0,296.86,inadimplente,0,2025-06-05 08:25:32,0
108.04,2024-04-27 06:30:09,"40.139885, 58.218363",2018-04-22 06:30:09,1,0,0,43,0,1000,1,4,2018-05-16 06:30:09,6,3,215.16,atrasado,0,2024-04-01 05:50:40,0
488.59,2024-03-04 12:23:36,"28.860699, -16.07643",2014-04-05 12:23:36,1,0,0,37,1,2000,0,0,2014-05-11 12:23:36,0,4,318.38,inadimplente,1,2024-02-08 00:56:17,0
46.67,2024-06-29 00:00:21,"75.947218, 129.543783",2017-12-12 00:00:21,1,0,0,37,1,10000,0,0,2018-02-25 00:00:21,3,5,569.3,atrasado,1,2024-06-10 12:41:47,0
95.91,2024-09-01 08:39:58,"55.88363, 84.95397",2024-07-28 08:39:58,0,0,1,34,1,1000,0,1,2024-09-24 08:39:58,1,1,291.94,atrasado,0,2024-08-11 18:49:52,1
109.79,2023-08-31 23:17:04,"8.945095, 14.270158",2019-03-29 23:17:04,1,0,0,45,0,5000,0,5,2019-04-17 23:17:04,0,1,216.69,atrasado,0,2023-08-11 11:05:00,0
17.6,2024-06-05 02:18:56,"-24.871936, -121.696609",2021-10-04 02:18:56,1,0,1,25,0,20000,0,3,2021-10-14 02:18:56,6,3,473.89,inadimplente,0,2024-05-16 01:54:12,0
256.2,2023-07-23 07:26:59,"-66.602231, 129.603925",2017-07-09 07:26:59,0,0,1,58,1,2000,0,1,2017-10-06 07:26:59,4,0,267.88,bom,0,2023-07-17 06:10:12,0
450.24,2024-09-01 15:00:31,"20.904696, 146.872983",2020-01-15 15:00:31,1,0,1,65,1,5000,0,2,2020-03-11 15:00:31,9,5,339.38,atrasado,1,2024-08-18 18:54:32,1
549.98,2023-09-02 05:43:59,"61.830956, 160.477255",2020-10-08 05:43:59,1,1,0,35,1,10000,1,0,2020-10-22 05:43:59,0,4,107.23,bom,0,2023-08-08 06:40:00,0
660.87,2023-08-31 13:03:56,"-83.028529, -170.407651",2015-04-28 13:03:56,1,0,0,30,1,10000,1,0,2015-06-29 13:03:56,2,3,295.11,inadimplente,0,2023-08-05 02:49:32,0
406.02,2024-01-11 01:10:59,"3.033347, 112.44102",2016-06-06 01:10:59,1,0,1,31,0,20000,0,5,2016-06-19 01:10:59,5,5,159.48,bom,1,2024-01-06 22:48:33,0
198.02,2025-07-10 12:20:03,"1.505354, -32.90874",2024-04-20 12:20:03,0,0,0,77,0,5000,0,0,2024-05-26 12:20:03,5,4,395.14,atrasado,1,2025-06-25 22:32:00,0
156.67,2024-10-21 06:10:30,"54.184796, -117.006975",2016-10-30 06:10:30,0,0,0,20,1,2000,1,4,2017-01-05 06:10:30,10,2,263.35,atrasado,1,2024-09-30 09:47:20,1
181.54,2024-04-26 23:15:04,"-0.688654, -106.357717",2017-12-11 23:15:04,0,0,1,43,0,20000,1,1,2018-02-05 23:15:04,4,3,275.66,atrasado,1,2024-04-19 17:45:16,0
907.52,2024-09-28 06:26:03,"-26.417927, -156.933162",2021-12-18 06:26:03,0,0,1,20,0,1000,1,3,2022-02-09 06:26:03,6,0,270.02,atrasado,1,2024-08-30 15:50:01,0
251.61,2025-06-14 04:45:34,"45.917289, 106.237222",2024-10-20 04:45:34,1,0,1,77,0,5000,0,0,2025-01-11 04:45:34,4,4,521.88,bom,0,2025-05-17 20:54:34,1
78.34,2024-04-06 19:19:43,"13.350394, -66.583089",2016-09-11 19:19:43,0,0,1,40,0,5000,0,4,2016-10-19 19:19:43,10,4,284.1,atrasado,1,2024-03-08 09:09:38,1
139.65,2024-12-23 01:38:09,"24.998687, 53.289689",2022-09-02 01:38:09,1,0,1,33,1,10000,1,0,2022-10-24 01:38:09,6,0,321.68,bom,0,2024-11-29 12:37:19,1
61.47,2023-08-18 15:37:32,"81.458346, -5.392298",2017-02-22 15:37:32,1,0,0,47,0,5000,1,1,2017-03-20 15:37:32,8,5,190.27,inadimplente,1,2023-07-21 08:32:24,0
74.04,2023-11-17 20:31:10,"89.220702, -19.415527",2023-08-19 20:31:10,0,0,1,39,1,2000,0,1,2023-10-17 20:31:10,0,4,245.17,atrasado,0,2023-11-12 17:22:50,0
785.7,2024-04-15 22:39:16,"-16.066455, 122.769878",2016-10-18 22:39:16,0,1,1,30,0,2000,1,5,2017-01-15 22:39:16,9,4,383.33,inadimplente,1,2024-04-08 19:50:47,0
254.07,2023-09-26 07:46:30,"-74.969857, -19.995546",2023-05-28 07:46:30,1,0,0,27,1,5000,1,4,2023-06-14 07:46:30,2,0,421.8,atrasado,1,2023-08-31 23:39:49,0
137.37,2025-01-26 11:33:31,"12.795773, -21.472706",2019-04-22 11:33:31,1,0,1,19,0,1000,0,2,2019-06-30 11:33:31,0,3,248.68,atrasado,1,2025-01-03 12:09:11,0
244.11,2025-07-07 07:51:44,"59.185915, -115.261211",2023-04-26 07:51:44,1,0,0,56,1,1000,0,1,2023-06-30 07:51:44,7,5,246.88,inadimplente,1,2025-06-29 07:12:59,1
335.12,2024-11-08 22:48:57,"10.744004, 1.687214",2019-07-31 22:48:57,1,0,1,24,1,1000,1,1,2019-08-15 22:48:57,4,0,348.39,inadimplente,1,2024-11-03 11:45:08,1
73.85,2023-09-16 13:17:01,"-13.113062, -2.032028",2017-06-09 13:17:01,0,0,0,80,1,20000,0,2,2017-07-27 13:17:01,5,0,216.14,atrasado,1,2023-09-07 17:33:31,1
0.2,2025-06-26 06:36:24,"25.199752, 138.516289",2020-09-03 06:36:24,1,0,1,67,0,5000,1,0,2020-10-07 06:36:24,7,4,211.33,atrasado,0,2025-06-23 03:09:22,1
471.92,2024-07-18 11:42:52,"-87.909255, 21.899932",2023-04-27 11:42:52,1,0,0,38,1,20000,0,5,2023-06-18 11:42:52,4,4,236.27,inadimplente,0,2024-07-18 11:18:53,0
183.93,2023-11-14 17:22:47,"-42.13472, -35.953004",2015-12-23 17:22:47,0,0,0,73,0,5000,1,3,2016-01-11 17:22:47,8,3,345.84,inadimplente,0,2023-10-25 02:19:07,0
29.54,2025-01-23 06:06:31,"22.183031, -157.172408",2021-08-14 06:06:31,0,0,0,32,0,5000,0,1,2021-10-05 06:06:31,1,1,206.35,bom,1,2025-01-03 11:10:57,0
81.6,2025-07-03 06:24:02,"-28.488777, 173.164544",2024-12-06 06:24:02,1,1,1,83,0,10000,1,5,2024-12-08 06:24:02,2,2,233.22,atrasado,1,2025-06-09 04:59:39,0
189.37,2023-08-11 20:18:57,"-42.807108, 41.860662",2018-09-20 20:18:57,1,0,0,42,1,5000,0,4,2018-11-12 20:18:57,6,0,239.31,atrasado,1,2023-08-08 16:11:49,0
200.4,2024-02-16 12:57:02,"36.035029, 34.03699",2017-08-14 12:57:02,0,0,0,69,1,20000,0,0,2017-09-17 12:57:02,1,3,345.77,atrasado,1,2024-01-22 10:38:06,0
272.58,2024-10-21 18:26:25,"51.709836, 122.304467",2017-09-29 18:26:25,0,1,1,66,1,20000,1,4,2017-12-22 18:26:25,8,4,247.38,bom,1,2024-09-25 02:09:57,1
527.3,2025-03-20 16:04:15,"-33.909158, 2.420346",2018-10-10 16:04:15,1,0,0,59,1,20000,1,2,2019-01-02 16:04:15,0,0,438.83,bom,0,2025-02-19 14:03:34,0
9.28,2024-01-19 01:57:53,"-79.454146, 67.482946",2018-08-12 01:57:53,1,0,0,66,0,5000,0,0,2018-10-11 01:57:53,1,3,314.13,inadimplente,0,2024-01-08 01:24:36,1
286.45,2023-09-10 20:48:13,"-52.714523, -66.820317",2019-01-02 20:48:13,0,1,0,83,1,5000,1,4,2019-01-09 20:48:13,6,3,86.94,bom,0,2023-09-09 15:56:27,1
213.92,2025-07-11 01:04:55,"55.258841, -72.463185",2018-12-08 01:04:55,1,0,0,24,1,10000,1,5,2019-01-12 01:04:55,8,4,91.59,atrasado,1,2025-06-16 21:26:55,1
548.24,2024-11-22 14:49:36,"-80.999578, 104.104051",2021-11-15 14:49:36,0,0,0,57,1,10000,1,3,2022-01-10 14:49:36,5,4,472.47,bom,1,2024-11-07 15:22:24,1
7.59,2025-01-25 04:34:22,"83.656411, -110.776494",2019-04-23 04:34:22,0,0,1,34,0,5000,1,3,2019-06-10 04:34:22,2,5,243.02,bom,1,2025-01-08 20:30:48,1
281.19,2025-05-27 06:13:16,"-80.245368, -37.263461",2021-07-29 06:13:16,1,0,0,24,0,10000,0,1,2021-08-13 06:13:16,2,1,332.95,atrasado,0,2025-05-05 07:41:20,1
57.17,2024-08-04 15:11:58,"83.580115, -7.788637",2017-02-23 15:11:58,1,0,1,69,0,5000,0,3,2017-02-26 15:11:58,1,0,255.0,bom,1,2024-07-30 18:47:26,0
416.81,2025-04-01 15:49:36,"-22.948331, 170.068397",2019-07-11 15:49:36,1,0,1,25,0,20000,0,0,2019-09-09 15:49:36,9,4,425.71,atrasado,1,2025-03-08 15:39:10,0
444.54,2025-02-21 13:41:28,"-54.740914, -151.512429",2018-08-01 13:41:28,1,0,1,19,1,10000,0,5,2018-09-22 13:41:28,4,1,368.55,inadimplente,1,2025-02-17 20:58:55,0
794.13,2023-10-03 23:50:44,"41.480435, 151.02783",2023-01-27 23:50:44,0,0,1,47,1,5000,0,3,2023-03-12 23:50:44,9,5,484.86,atrasado,0,2023-09-11 14:30:14,1
20.54,2025-04-02 19:36:26,"85.266524, 48.800884",2021-01-14 19:36:26,1,0,0,57,0,1000,0,4,2021-02-24 19:36:26,4,2,309.81,atrasado,0,2025-04-01 06:58:56,1
447.82,2024-12-21 18:22:10,"-44.196357, 55.015651",2021-09-10 18:22:10,1,0,1,36,0,1000,0,1,2021-10-04 18:22:10,2,5,429.59,atrasado,1,2024-11-25 16:24:30,1
126.97,2025-02-14 00:24:46,"32.790977, 43.484412",2015-11-24 00:24:46,0,0,1,74,1,2000,0,5,2015-12-31 00:24:46,10,5,309.18,inadimplente,0,2025-01-21 06:21:16,0
811.84,2025-07-14 02:31:05,"-84.473083, 132.339541",2019-03-25 02:31:05,1,0,0,27,1,5000,0,5,2019-06-02 02:31:05,0,0,325.22,inadimplente,1,2025-07-02 02:48:53,0
